t_rel_s,shm_used_mb,shm_sm_block_count,images_out_mb,pipelines
8.9,39291.86,5759,3688.35,0
8.9,39311.94,5759,3688.35,0
8.9,39315.02,5759,3688.35,0
8.9,39315.02,5759,3688.35,0
8.9,39315.02,5759,3688.35,0
8.9,39315.02,5759,3688.35,0
8.9,39315.02,5759,3688.35,0
9.0,39315.02,5759,3688.35,0
9.0,39315.02,5759,3688.35,0
9.0,39315.02,5759,3688.35,0
9.0,39324.71,5759,3688.35,0
9.0,39344.15,5759,3688.35,0
9.0,39377.22,5759,3688.35,0
9.0,39395.02,5759,3688.35,0
9.0,39409.91,5759,3688.35,0
9.0,39428.67,5759,3688.35,0
9.0,39448.34,5759,3688.35,0
9.0,39464.24,5759,3688.35,0
9.0,39467.02,5759,3688.35,0
9.0,39467.02,5759,3688.35,0
9.0,39467.02,5759,3688.35,0
9.1,39467.02,5759,3688.35,0
9.1,39467.02,5759,3688.35,0
9.1,39467.02,5759,3688.35,0
9.1,39467.02,5759,3688.35,0
9.1,39315.02,5759,3688.35,0
9.1,39315.02,5759,3688.35,0
9.1,39322.4,5760,3688.35,0
9.1,39332.2,5760,3688.35,0
9.1,39332.2,5760,3688.35,0
9.1,39332.2,5760,3688.35,0
9.1,39332.2,5760,3688.35,0
9.1,39332.2,5760,3688.35,0
9.1,39332.2,5760,3688.35,0
9.1,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.2,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39332.2,5760,3688.35,0
9.3,39335.17,5761,3688.35,0
9.4,39336.44,5761,3688.35,0
9.4,39341.08,5761,3688.35,0
9.4,39346.14,5761,3688.35,0
